iteration,total_iterations,elapsed_seconds,loss,pg_loss,vf_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,reward,episodes,wins,losses,draws,win_pct,loss_pct,draw_pct,episode_length,cities,lr,sps,eval_wins,eval_losses,eval_draws,eval_win_pct
2001,8000,228,1.7924,-0.0137,3.5354,4.927,0.0178,0.1,6.69,0.83,0.0,663.0,410,253,0,62,38,0,395.0,0.01,0.0001,2806.0,,,,
2002,8000,254,1.6772,-0.0142,3.3092,5.308,0.0113,0.09,3.96,0.87,0.0,567.0,298,269,0,53,47,0,462.0,0.02,0.0001,21523.0,,,,
2003,8000,271,1.7488,-0.0124,3.4452,5.013,0.0119,0.09,4.87,0.9,0.0,727.0,302,425,0,42,58,0,361.0,0.05,0.0001,31852.0,,,,
2004,8000,288,1.7986,0.004,3.5099,4.797,0.0112,0.09,4.63,0.91,0.0,1063.0,483,550,30,45,52,3,247.0,0.03,0.0001,31849.0,,,,
2005,8000,304,1.7934,0.0197,3.4683,4.781,0.0121,0.09,4.88,0.92,0.0,1100.0,600,480,20,55,44,2,238.0,0.01,0.0001,31838.0,,,,
2006,8000,321,1.686,-0.024,3.3405,4.813,0.011,0.08,8.58,0.93,0.0,850.0,426,419,5,50,49,1,308.0,0.01,0.0001,31845.0,,,,
2007,8000,337,1.5926,-0.0103,3.1273,4.974,0.0087,0.07,6.21,0.93,0.0,531.0,242,289,0,46,54,0,494.0,0.05,0.0001,31849.0,,,,
2008,8000,354,1.5742,-0.0091,3.0892,4.912,0.011,0.07,9.19,0.92,0.0,426.0,161,255,10,38,60,2,615.0,0.11,0.0001,31810.0,,,,
2009,8000,371,1.631,0.0091,3.1677,4.928,0.0113,0.09,5.13,0.83,0.0,558.0,191,353,14,34,63,3,470.0,0.09,0.0001,31793.0,,,,
2010,8000,387,1.8026,0.0362,3.4555,4.58,0.0181,0.11,3.2,0.81,0.0,790.0,325,434,31,41,55,4,332.0,0.07,0.0001,31805.0,,,,
2011,8000,404,1.8901,0.034,3.6324,4.43,0.0127,0.11,3.11,0.8,0.0,1106.0,562,531,13,51,48,1,237.0,0.05,0.0001,31841.0,,,,
2012,8000,420,1.841,0.0392,3.5244,4.559,0.013,0.11,4.05,0.83,0.0,1169.0,608,548,13,52,47,1,224.0,0.03,0.0001,31795.0,,,,
2013,8000,437,1.7434,-0.0226,3.4531,4.684,0.0116,0.1,3.39,0.85,0.0,977.0,541,431,5,55,44,1,268.0,0.02,0.0001,31792.0,,,,
2014,8000,453,1.7005,0.017,3.292,5.095,0.0105,0.09,3.1,0.88,0.0,661.0,325,332,4,49,50,1,397.0,0.02,0.0001,31812.0,,,,
2015,8000,470,1.6696,0.0158,3.2319,5.116,0.007,0.06,5.12,0.9,0.0,552.0,276,271,5,50,49,1,475.0,0.03,0.0001,31866.0,,,,
2016,8000,486,1.6662,0.0155,3.2249,4.96,0.0081,0.07,4.93,0.91,0.0,595.0,305,278,12,51,47,2,441.0,0.03,0.0001,31796.0,,,,
